                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2612,                 7.0662,                 1.5207,                0.04291,                0.53595,                0.04095,                0.01634,                 1.7959,                 6.1124,                 2.0808,                 0.0946,                 0.0006,                 0.0006
                      1,                 1.1773,                 4.7804,                 1.4439,                0.90298,                0.77124,                0.86611,                0.39348,                 1.8911,                  2.697,                 2.2473,               0.088249,              0.0012485,              0.0012485
                      2,                 1.1418,                 1.3535,                 1.3941,                0.86463,                0.87582,                0.92912,                0.42307,                 1.8736,                 1.3817,                 2.2084,               0.081842,              0.0018416,              0.0018416
                      3,                 1.0457,                0.95296,                 1.3164,                0.85805,                0.87582,                0.92584,                0.41545,                  1.872,                 1.0009,                 2.0945,               0.075379,              0.0023792,              0.0023792
                      4,                 1.0313,                0.86676,                  1.273,                0.92235,                0.90196,                0.95034,                0.44125,                 1.8139,                0.92969,                 2.0399,               0.068861,              0.0028614,              0.0028614
                      5,                 1.0467,                0.75042,                 1.2772,                0.96923,                0.82343,                0.94175,                0.44142,                 1.7688,                0.75517,                 1.9861,               0.062288,              0.0032882,              0.0032882
                      6,                 1.0658,                0.74308,                 1.3103,                0.86753,                0.81326,                0.90596,                0.41697,                 1.7748,                 0.9422,                 2.0008,                0.05566,              0.0036595,              0.0036595
                      7,                 0.9818,                0.67323,                 1.2352,                0.85758,                0.82651,                0.90933,                 0.3612,                 2.0261,                0.92482,                  2.277,               0.048975,              0.0039754,              0.0039754
                      8,                0.93568,                0.68106,                 1.2118,                0.84875,                 0.6969,                0.81114,                0.32864,                 1.9978,                 1.1906,                 2.2602,               0.042236,              0.0042358,              0.0042358
                      9,                 0.8723,                0.66937,                 1.1786,                0.82083,                0.70588,                0.80247,                0.31548,                  2.147,                  1.301,                 2.3894,               0.035441,              0.0044408,              0.0044408
                     10,                0.95123,                0.66028,                 1.1647,                0.92334,                0.78721,                0.89397,                0.34993,                 2.1061,                 1.0965,                 2.3692,                0.02859,              0.0045904,              0.0045904
                     11,                0.92591,                0.67428,                 1.1867,                0.87702,                0.64706,                0.76986,                0.32297,                 2.0109,                 1.5795,                 2.2407,               0.021685,              0.0046845,              0.0046845
                     12,                0.89044,                 0.7072,                 1.2012,                0.85737,                0.65359,                0.78744,                0.33023,                 2.0307,                 1.5832,                 2.3299,               0.014723,              0.0047232,              0.0047232
                     13,                0.90555,                0.70054,                 1.1394,                0.86238,                0.78431,                0.86138,                0.35825,                 2.0204,                 1.2092,                 2.4249,              0.0077064,              0.0047064,              0.0047064
                     14,                0.89391,                 0.6125,                 1.1516,                0.89851,                 0.7451,                0.83826,                 0.3229,                 2.1586,                  1.269,                 2.6099,               0.004456,               0.004456,               0.004456
                     15,                 0.8962,                0.65944,                 1.2772,                0.83671,                0.82353,                0.86988,                0.36659,                 2.0322,                  1.087,                 2.3916,               0.004456,               0.004456,               0.004456
                     16,                0.80124,                0.54554,                 1.1364,                0.86645,                 0.7451,                0.82782,                0.35285,                 1.9941,                 1.1768,                 2.3545,                0.00406,                0.00406,                0.00406
                     17,                0.83713,                0.57331,                 1.1327,                 0.8381,                0.67668,                0.78957,                0.32084,                 2.0533,                 1.2769,                 2.4391,               0.003664,               0.003664,               0.003664
                     18,                0.80183,                0.51467,                 1.1388,                0.86727,                0.76471,                0.86771,                0.32748,                 2.1469,                0.98133,                 2.5989,               0.003268,               0.003268,               0.003268
                     19,                0.76583,                0.48479,                 1.1222,                0.95959,                0.75163,                0.89113,                0.38056,                  1.952,                0.87195,                 2.3811,               0.002872,               0.002872,               0.002872
                     20,                0.73563,                 0.4688,                 1.0759,                0.93159,                0.79739,                0.90903,                0.38701,                 1.9049,                 0.8954,                   2.34,               0.002476,               0.002476,               0.002476
                     21,                0.69318,                0.46984,                 1.0555,                0.92529,                0.81046,                0.89957,                0.37996,                 1.9353,                0.91386,                 2.3675,                0.00208,                0.00208,                0.00208
                     22,                0.72788,                0.47946,                 1.0621,                 0.8837,                 0.8366,                0.89404,                0.37033,                 1.9828,                0.93019,                 2.4014,               0.001684,               0.001684,               0.001684
                     23,                0.66817,                0.43893,                 1.0624,                0.90562,                 0.8366,                0.90316,                0.39801,                 1.9195,                0.87909,                 2.3295,               0.001288,               0.001288,               0.001288
                     24,                0.65121,                0.41771,                 1.0571,                0.89341,                0.84314,                 0.9047,                0.39779,                 1.9078,                0.87034,                 2.3293,               0.000892,               0.000892,               0.000892
